epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
141,758.135,1.04896,0.62999,0.01426,0.00083,0.77307,0.85033,0.85753,0.58851,0.96471,0.57295,0.02194,9e-05,0.00143595,0.00143595,0.00143595
142,763.121,1.01235,0.59759,0.01247,0.00072,0.85089,0.81672,0.86367,0.5886,0.93101,0.53997,0.02204,7e-05,0.0014343,0.0014343,0.0014343
143,768.396,1.01049,0.59951,0.01401,0.00065,0.81877,0.836,0.86983,0.57597,0.98976,0.57715,0.02271,9e-05,0.00143265,0.00143265,0.00143265
144,773.758,1.00765,0.60634,0.01472,0.00068,0.80868,0.83074,0.86404,0.59055,0.95566,0.60199,0.02282,9e-05,0.001431,0.001431,0.001431
145,778.492,1.03862,0.62656,0.01325,0.00095,0.8032,0.8315,0.8562,0.53448,1.09037,0.61855,0.02644,0.00011,0.00142935,0.00142935,0.00142935
146,783.583,1.07458,0.61647,0.01273,0.0009,0.82328,0.81138,0.84894,0.56083,1.00767,0.62059,0.02159,0.0001,0.0014277,0.0014277,0.0014277
147,788.778,1.02766,0.61705,0.01305,0.00072,0.80362,0.82556,0.84783,0.57197,0.90455,0.62021,0.02157,7e-05,0.00142605,0.00142605,0.00142605
148,793.737,1.00081,0.59636,0.01181,0.00069,0.83632,0.85838,0.87656,0.59005,0.94765,0.54968,0.0201,9e-05,0.0014244,0.0014244,0.0014244
149,798.932,1.02221,0.58429,0.01358,0.00076,0.85899,0.82327,0.88476,0.59253,0.9655,0.54167,0.01946,9e-05,0.00142275,0.00142275,0.00142275
150,804.142,1.02954,0.59805,0.01348,0.00065,0.82092,0.82883,0.87297,0.58482,0.91786,0.59291,0.02467,8e-05,0.0014211,0.0014211,0.0014211
151,809.258,0.99152,0.58888,0.01371,0.00076,0.85447,0.81439,0.87682,0.60596,0.97691,0.62915,0.02034,0.00012,0.00141945,0.00141945,0.00141945
152,814.465,1.02203,0.60291,0.01577,0.00065,0.81215,0.81897,0.85819,0.58011,0.93453,0.57899,0.02477,7e-05,0.0014178,0.0014178,0.0014178
153,819.862,1.01587,0.62865,0.01457,0.00069,0.8425,0.79398,0.84882,0.55458,0.9946,0.59082,0.02273,0.0001,0.00141615,0.00141615,0.00141615
154,825.441,1.05482,0.62761,0.01422,0.00072,0.85353,0.78399,0.86485,0.57754,0.99019,0.58211,0.02606,0.0001,0.0014145,0.0014145,0.0014145
155,830.685,1.0532,0.61111,0.01399,0.00083,0.80928,0.87673,0.8647,0.5808,0.87268,0.62237,0.02408,7e-05,0.00141285,0.00141285,0.00141285
156,835.651,1.04062,0.62341,0.01379,0.00078,0.88712,0.77735,0.85971,0.58375,1.03466,0.60703,0.02628,0.00011,0.0014112,0.0014112,0.0014112
157,840.927,1.00142,0.63586,0.01253,0.00065,0.87045,0.7908,0.87176,0.5906,0.92706,0.56516,0.02122,9e-05,0.00140955,0.00140955,0.00140955
